name,address_id,rating
Bravo! Italian Kitchen,1,NULL
Firebirds Wood Fired Grill,2,NULL
Jethro’s BBQ ’n Jambalaya,3,NULL
Two Rivers Grille,4,NULL
Los Tres Amigos,5,NULL
Tasty Tacos,6,NULL
Titos Lounge,7,NULL
The Urban Grill,8,NULL
Ruby Tuesday,9,NULL
Cancun Grill and Cantina,10,NULL
Machine Shed,11,NULL
Hidalgo Mexican Bar and Grill,12,NULL
Wendys,13,NULL
Taco Johns,14,NULL
Pancheros Mexican Grill,15,NULL
The Beerhouse,16,NULL
Urbandale Clubhouse and Restaurant,17,NULL
Texas Roadhouse,18,NULL
Hungry Boyz,19,NULL
Blue Shark Ale House,20,NULL
VIVA Mexican Restaurant,21,NULL
Culvers,22,NULL
Cosi Cucina Italian Grill,23,NULL
Biaggis Ristorante Italiano,24,NULL
